Period,Month,Lake,Rainfall_in_mm
2001-2019,Jan,Lake Victoria,3.176
2001-2019,Feb,Lake Victoria,3.477
2001-2019,Mar,Lake Victoria,4.687
2001-2019,Apr,Lake Victoria,7.005
2001-2019,May,Lake Victoria,9.363
2001-2019,Jun,Lake Victoria,3.430
2001-2019,Jul,Lake Victoria,1.764
2001-2019,Aug,Lake Victoria,2.813
2001-2019,Sep,Lake Victoria,3.979
2001-2019,Oct,Lake Victoria,5.318
2001-2019,Nov,Lake Victoria,5.118
2001-2019,Dec,Lake Victoria,4.168
2001-2019,Jan,Simiyu,2.908
2001-2019,Feb,Simiyu,1.800
2001-2019,Mar,Simiyu,2.981
2001-2019,Apr,Simiyu,4.754
2001-2019,May,Simiyu,4.077
2001-2019,Jun,Simiyu,1.047
2001-2019,Jul,Simiyu,0.195
2001-2019,Aug,Simiyu,0.334
2001-2019,Sep,Simiyu,1.206
2001-2019,Oct,Simiyu,2.455
2001-2019,Nov,Simiyu,3.091
2001-2019,Dec,Simiyu,3.890
